Year,Month,Month_Name,Total_Counties,S1_Count,S2_Count,S3_Count,N_Count,NoData_Count,Avg_Score,Date,S1_Pct,S2_Pct,S3_Pct,N_Pct,NoData_Pct
2021,8,August,3144,895,1435,653,122,39,66.14440203562341,2021-08-01,28.466921119592875,45.64249363867685,20.769720101781168,3.880407124681934,1.2404580152671756
2021,9,September,3144,841,1484,682,98,39,65.63676844783716,2021-09-01,26.74936386768448,47.20101781170484,21.692111959287534,3.11704834605598,1.2404580152671756
2021,10,October,3144,276,954,1676,199,39,56.01335877862596,2021-10-01,8.778625954198473,30.343511450381676,53.30788804071247,6.3295165394402035,1.2404580152671756
2021,11,November,3144,17,65,2254,769,39,42.81106870229008,2021-11-01,0.5407124681933841,2.067430025445293,71.69211195928753,24.459287531806613,1.2404580152671756
2021,12,December,3144,20,188,2439,458,39,46.31743002544529,2021-12-01,0.6361323155216284,5.979643765903308,77.57633587786259,14.567430025445294,1.2404580152671756
2022,1,January,3144,3,175,2362,565,39,44.6736641221374,2022-01-01,0.09541984732824427,5.566157760814249,75.12722646310432,17.970737913486005,1.2404580152671756
2022,2,February,3144,10,150,2298,647,39,44.52226463104326,2022-02-01,0.3180661577608142,4.770992366412214,73.09160305343512,20.578880407124682,1.2404580152671756
2022,3,March,3144,13,244,2345,503,39,46.88994910941476,2022-03-01,0.4134860050890585,7.760814249363868,74.58651399491094,15.998727735368956,1.2404580152671756
2022,4,April,3144,121,532,2182,270,39,51.48664122137404,2022-04-01,3.848600508905852,16.921119592875318,69.40203562340967,8.587786259541986,1.2404580152671756
2022,5,May,3144,651,1225,1102,127,39,61.916666666666664,2022-05-01,20.706106870229007,38.963104325699746,35.05089058524173,4.039440203562341,1.2404580152671756
2022,6,June,3144,1062,1095,833,115,39,65.68256997455471,2022-06-01,33.778625954198475,34.82824427480916,26.494910941475823,3.657760814249364,1.2404580152671756
2022,7,July,3144,835,1260,854,156,39,64.3441475826972,2022-07-01,26.55852417302799,40.0763358778626,27.16284987277354,4.961832061068702,1.2404580152671756
2022,8,August,3144,1104,1335,562,104,39,68.06170483460559,2022-08-01,35.11450381679389,42.461832061068705,17.87531806615776,3.307888040712468,1.2404580152671756
2022,9,September,3144,518,1667,808,112,39,63.34796437659033,2022-09-01,16.475826972010175,53.021628498727736,25.699745547073793,3.5623409669211195,1.2404580152671756
2022,10,October,3144,79,501,2150,375,39,49.08460559796438,2022-10-01,2.5127226463104324,15.935114503816795,68.38422391857506,11.927480916030534,1.2404580152671756
2022,11,November,3144,19,210,2412,464,39,46.73091603053435,2022-11-01,0.6043256997455471,6.679389312977099,76.7175572519084,14.75826972010178,1.2404580152671756
2022,12,December,3144,10,220,2327,548,39,45.708015267175576,2022-12-01,0.3180661577608142,6.997455470737914,74.01399491094148,17.43002544529262,1.2404580152671756
2023,1,January,3144,10,210,2212,673,39,45.2589058524173,2023-01-01,0.3180661577608142,6.679389312977099,70.35623409669212,21.4058524173028,1.2404580152671756
2023,2,February,3144,17,141,2461,486,39,46.222010178117046,2023-02-01,0.5407124681933841,4.484732824427481,78.27608142493638,15.458015267175574,1.2404580152671756
2023,3,March,3144,34,272,2291,508,39,46.86323155216285,2023-03-01,1.0814249363867683,8.651399491094146,72.86895674300254,16.157760814249365,1.2404580152671756
2023,4,April,3144,101,462,2248,294,39,50.50318066157761,2023-04-01,3.212468193384224,14.694656488549619,71.50127226463104,9.351145038167939,1.2404580152671756
2023,5,May,3144,551,1080,1337,137,39,60.25127226463104,2023-05-01,17.525445292620866,34.35114503816794,42.525445292620866,4.357506361323155,1.2404580152671756
2023,6,June,3144,1114,1154,740,97,39,66.94974554707379,2023-06-01,35.43256997455471,36.704834605597966,23.536895674300254,3.0852417302798982,1.2404580152671756
2023,7,July,3144,950,1315,723,117,39,66.11005089058524,2023-07-01,30.216284987277355,41.82569974554708,22.99618320610687,3.7213740458015265,1.2404580152671756
2023,8,August,3144,1045,1128,773,159,39,65.77671755725191,2023-08-01,33.23791348600509,35.87786259541985,24.58651399491094,5.057251908396947,1.2404580152671756
2023,9,September,3144,588,1505,922,90,39,63.39376590330789,2023-09-01,18.702290076335878,47.86895674300254,29.325699745547073,2.8625954198473282,1.2404580152671756
2023,10,October,3144,152,601,2104,248,39,52.353053435114504,2023-10-01,4.8346055979643765,19.115776081424936,66.92111959287533,7.888040712468193,1.2404580152671756
2023,11,November,3144,17,95,2336,657,39,43.473918575063614,2023-11-01,0.5407124681933841,3.0216284987277353,74.30025445292621,20.896946564885496,1.2404580152671756
2023,12,December,3144,11,138,2397,559,39,45.37722646310433,2023-12-01,0.34987277353689566,4.3893129770992365,76.24045801526718,17.779898218829516,1.2404580152671756
2024,1,January,3144,6,225,2147,727,39,45.05279898218829,2024-01-01,0.19083969465648853,7.15648854961832,68.28880407124683,23.123409669211195,1.2404580152671756
2024,2,February,3144,5,121,2396,583,39,44.41539440203562,2024-02-01,0.1590330788804071,3.848600508905852,76.20865139949109,18.543256997455472,1.2404580152671756
2024,3,March,3144,23,206,2321,555,39,46.36704834605598,2024-03-01,0.7315521628498728,6.552162849872774,73.82315521628499,17.65267175572519,1.2404580152671756
2024,4,April,3144,120,729,2037,219,39,52.779262086513995,2024-04-01,3.816793893129771,23.18702290076336,64.79007633587787,6.965648854961833,1.2404580152671756
2024,5,May,3144,747,1196,1009,153,39,62.68893129770992,2024-05-01,23.759541984732824,38.040712468193384,32.092875318066156,4.866412213740458,1.2404580152671756
2024,6,June,3144,906,1325,754,120,39,65.76653944020356,2024-06-01,28.816793893129773,42.14376590330789,23.982188295165393,3.816793893129771,1.2404580152671756
2024,7,July,3144,983,1258,713,151,39,66.05788804071247,2024-07-01,31.265903307888042,40.012722646310436,22.678117048346056,4.802798982188295,1.2404580152671756
2024,8,August,3144,1100,1033,823,149,39,66.02099236641222,2024-08-01,34.987277353689564,32.85623409669211,26.176844783715016,4.739185750636132,1.2404580152671756
2024,9,September,3144,631,1612,745,117,39,64.19656488549619,2024-09-01,20.06997455470738,51.27226463104325,23.695928753180663,3.7213740458015265,1.2404580152671756
2024,10,October,3144,64,605,2101,335,39,50.38486005089059,2024-10-01,2.035623409669211,19.24300254452926,66.82569974554707,10.655216284987278,1.2404580152671756
2024,11,November,3144,60,317,2348,380,39,48.76908396946565,2024-11-01,1.9083969465648856,10.082697201017812,74.68193384223919,12.086513994910941,1.2404580152671756
2024,12,December,3144,11,180,2352,562,39,45.48791348600509,2024-12-01,0.34987277353689566,5.7251908396946565,74.80916030534351,17.87531806615776,1.2404580152671756
